Geschäftsnummer;Bewilligungsdatum;Endverbraucherland;AG (GKV);MTCR (GKV);NSGI (GKV);NSGII (GKV);WA (GKV);ML (GKV);Anhang 5.1;Anhang 5.2;ChKV; Wert 
11738;04.01.2012;China;;;;2B201b;2B001c;;;;; Fr. 492'552.00 
11746;04.01.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 341'164.00 
11747;04.01.2012;Thailand;;;;;;;5.1;;; Fr. 7'616.00 
11747;04.01.2012;Thailand;;;;;;;5.1;;; Fr. 6'241.00 
11747;04.01.2012;Thailand;;;;;;;5.1;;; Fr. 1'174.00 
11747;04.01.2012;Thailand;;;;;;;5.1;;; Fr. 2'156.00 
11748;04.01.2012;Türkei;;;;;;18a;;;; Fr. 150'900.00 
11693;05.01.2012;Kenia;;;;;5A001f;;;;; Fr. 159'700.00 
11710;05.01.2012;Indien;1C350.43;;;;;;;;; Fr. 18'752.00 
11749;05.01.2012;Taiwan, Provinz von China;2B350g2;;;;;;;;; Fr. 24'000.00 
11750;05.01.2012;Indien;;;;2B201a1;2B001b2;;;;; Fr. 370'296.00 
11751;05.01.2012;Serbien;;;;2B201a;;;;;; Fr. 7'200.00 
11752;05.01.2012;Indien;;;;;;4c;;;; Fr. 6'037.00 
11753;05.01.2012;Rumänien;;;;;2B001d;;;;; Fr. 7'830.00 
11755;06.01.2012;China;;;;2B201a1;;;;;; Fr. 215'987.00 
11756;06.01.2012;China;;;;2B201a1;;;;;; Fr. 234'736.00 
11757;06.01.2012;Brasilien;;;;2B231;;;;;; Fr. 69'900.00 
11758;06.01.2012;Brasilien;;;;2B231;;;;;; Fr. 139'800.00 
11759;06.01.2012;Slowenien;;;;;2B001a;;;;; Fr. 231'815.00 
11760;09.01.2012;Marokko;;;;;;;;5.2;; Fr. 420'000.00 
11761;09.01.2012;China;;;;;7B003a;;;;; Fr. 2'145'000.00 
11762;09.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 36'580.00 
11763;09.01.2012;China;;;;;3A001a2c;;;;; Fr. 5'800.00 
11764;09.01.2012;China;;;;2B201b1;;;;;; Fr. 653'000.00 
11765;09.01.2012;China;;;;2B201b1;2B001c;;;;; Fr. 731'500.00 
11766;10.01.2012;Russische Föderation;;;;;;1a;;;; Fr. 5'430.00 
11767;10.01.2012;Russische Föderation;;;;;;1a;;;; Fr. 5'055.00 
11768;10.01.2012;Russische Föderation;;;;;;1a;;;; Fr. 6'738.00 
11769;10.01.2012;Saudi-Arabien;;;;;6A002c1;;;;; Fr. 23'200.00 
11770;10.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 7'800.00 
11771;11.01.2012;Russische Föderation;;;;2B201a1;;;;;; Fr. 251'762.00 
11772;11.01.2012;China;;;;;3A001a5a3;;;;; Fr. 8'010.00 
11773;11.01.2012;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 599'180.00 
11774;12.01.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 3'080'716.00 
11775;12.01.2012;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 2'160'000.00 
11776;12.01.2012;Russische Föderation;;;;2B201a;2B001b1;;;;; Fr. 451'493.00 
11777;12.01.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 451'493.00 
11778;12.01.2012;China;;;;;3A001a2c;;;;; Fr. 8'200.00 
11779;12.01.2012;Thailand;;;;;;11;;;; Fr. 54'500.00 
11780;12.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 414'000.00 
11781;12.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 165'600.00 
11782;12.01.2012;Vereinigte Staaten;;;;;;;5.1;;; Fr. 46'000.00 
11783;13.01.2012;China;;7A103a;;;;;;;; Fr. 151'596.00 
11784;13.01.2012;Indien;;;;;3A002g2;;;;; Fr. 50'244.00 
11785;13.01.2012;Ungarn;;;;;;16;;;; Fr. 4'000.00 
11786;13.01.2012;Marokko;;7A103a;;;;;;;; Fr. 151'596.00 
11787;13.01.2012;Marokko;;7A103a;;;;;;;; Fr. 151'596.00 
11788;16.01.2012;Israel;;;;;3A001a10c;;;;; Fr. 8'682.00 
11789;16.01.2012;China;2B350d4;;;;;;;;; Fr. 63'720.00 
11790;16.01.2012;Israel;;;;;7A002a+b;;;;; Fr. 25'672.00 
11791;16.01.2012;Pakistan (CA);;;;;;;;;; Fr. 1'608'000.00 
11793;16.01.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 10'738.00 
11794;16.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 202'500.00 
11795;17.01.2012;Südafrika;;;;;6A003b4;;;;; Fr. 13'500.00 
11796;17.01.2012;Lettland;;;;2B201a1;2B001b2;;;;; Fr. 374'873.00 
11797;17.01.2012;China;;;;2B201a1;;;;;; Fr. 227'347.00 
11798;17.01.2012;China;;;;2B201a1;;;;;; Fr. 170'318.00 
11799;17.01.2012;China;;;;2B201a1;;;;;; Fr. 202'775.00 
11800;17.01.2012;China;;;;2B201a1;;;;;; Fr. 149'463.00 
11801;17.01.2012;Belarus;;;;2B201b1;;;;;; Fr. 385'486.00 
11802;17.01.2012;Belarus;;;;2B201b1;;;;;; Fr. 603'045.00 
11803;17.01.2012;China;;;;2B201b1;;;;;; Fr. 660'000.00 
11804;17.01.2012;Katar;;;;;1;;;;; Fr. 1'200.00 
11805;17.01.2012;Indien;;;;;;;5.1;;; Fr. 477.00 
11805;17.01.2012;Indien;;;;;;;5.1;;; Fr. 169.00 
11805;17.01.2012;Indien;;;;;;;5.1;;; Fr. 450.00 
11806;17.01.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 100'967.00 
11806;17.01.2012;Russische Föderation;;;;;2B001b;;;;; Fr. 246'559.00 
11810;17.01.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 2'490.00 
11807;18.01.2012;Indonesien;;;;;3A001a2c;;;;; Fr. 27'900.00 
11808;18.01.2012;China;;;;2B201a;;;;;; Fr. 253'000.00 
11809;18.01.2012;Neuseeland;;;;;;5a;;;; Fr. 18'000.00 
11811;18.01.2012;China;2B350g3;;;;;;;;; Fr. 2'100.00 
11812;18.01.2012;China;2B350g3;;;;;;;;; Fr. 7'050.00 
11812;18.01.2012;China;2B350d3;;;;;;;;; Fr. 7'000.00 
11814;18.01.2012;Russische Föderation;;;;;2B001a;;;;; Fr. 238'965.00 
11814;18.01.2012;Russische Föderation;;;;;2B001a;;;;; Fr. 214'768.00 
11815;19.01.2012;Schweden;;;;;;4c;;;; Fr. 18'455.00 
11816;19.01.2012;China;;;;;2B001a;;;;; Fr. 580'000.00 
11817;19.01.2012;Singapur;;;;;2B001a;;;;; Fr. 230'000.00 
11821;19.01.2012;Peru;;;;;5A002.a1a;;;;; Fr. 15'730.00 
11822;19.01.2012;Frankreich;;;;;;;5.1;;; Fr. 790.00 
11663;20.01.2012;Vereinigte Staaten;;;0B001b14;;;;;;; Fr. 158'000.00 
11666;20.01.2012;Vereinigte Staaten;;;0B001b14;;;;;;; Fr. 2'000'000.00 
11667;20.01.2012;Vereinigte Staaten;;;0B001b14;;;;;;; Fr. 45'000.00 
11671;20.01.2012;China;;;;;6A002a1d;;;;; Fr. 54'020.00 
11823;20.01.2012;Russische Föderation;;;;1B231b2;;;;;; Fr. 27'000.00 
11823;20.01.2012;Russische Föderation;;;;1B231a;;;;;; Fr. 106'250.00 
11824;20.01.2012;Serbien;;;;2B001a1;;;;;; Fr. 5'500.00 
11825;20.01.2012;Ukraine;;;;2B231;;;;;; Fr. 6'900.00 
11826;20.01.2012;Indien;;;;2B201a1;2B001b2;;;;; Fr. 252'656.00 
11827;20.01.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 652'715.00 
11828;20.01.2012;Mongolei;;;;;;1;;;; Fr. 7'286.00 
11829;20.01.2012;Slowakei, Slowakische Republik;;;;;6A005a6b2;;;;; Fr. 180'000.00 
11818;23.01.2012;Belarus;;;;;;;5.1;;; Fr. 26'104.00 
11820;23.01.2012;Kasachstan;;;;;;1a;;;; Fr. 95'544.00 
11830;23.01.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 276'070.00 
11832;23.01.2012;Niederlande;;;0B001b14;;;;;;; Fr. 6'000.00 
11833;23.01.2012;China;2B350g2;;;;;;;;; Fr. 5'615.00 
11834;23.01.2012;Israel;;;;;6A005a6b2;;;;; Fr. 659'280.00 
11835;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 162.00 
11835;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 162.00 
11835;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 162.00 
11835;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 162.00 
11836;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 162.00 
11836;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 162.00 
11836;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 162.00 
11836;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 162.00 
11837;23.01.2012;Deutschland;1C351d11;;;;;;;;; Fr. 132.00 
11838;23.01.2012;Frankreich;1C351d11;;;;;;;;; Fr. 82.00 
11813;24.01.2012;Brasilien;;;;;;4c;;;; Fr. 52'360.00 
11831;24.01.2012;Hong Kong;;;;2B001a1;2B001b2;;;;; Fr. 740'000.00 
11839;24.01.2012;Türkei;;;;;;18a;;;; Fr. 23'800.00 
11840;24.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 15'900.00 
11841;24.01.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 211'000.00 
11842;24.01.2012;Hong Kong;;;;;3A001a5a1;;;;; Fr. 79'200.00 
11843;24.01.2012;Malaysia;;;;;5A002a1a;;;;; Fr. 21'115.00 
11844;24.01.2012;Russische Föderation;;;;;6A005a6b2;;;;; Fr. 180'000.00 
11845;25.01.2012;Taiwan, Provinz von China;;;;2B201a;2B001b;;;;; Fr. 725'000.00 
11846;25.01.2012;Vereinigte Arabische Emirate;;;;;6A003b4;;;;; Fr. 10'040.00 
11847;25.01.2012;Singapur;;;;2B201a1;2B001b2;;;;; Fr. 321'173.00 
11848;25.01.2012;China;;;;2B201a1;;;;;; Fr. 182'065.00 
11849;25.01.2012;China;;;;;3A002g2;;;;; Fr. 90'000.00 
11850;25.01.2012;China;;;;;3A002g2;;;;; Fr. 54'450.00 
11851;25.01.2012;Russische Föderation;;;;2B201b;2B001c1;;;;; Fr. 1'547'500.00 
11852;25.01.2012;Südafrika;;7A103a;;;;;;;; Fr. 151'596.00 
11853;25.01.2012;China;2B350g2;;;;;;;;; Fr. 3'399.00 
11854;26.01.2012;Türkei;;;;2B201a1;2B001b2;;;;; Fr. 16'800.00 
11855;26.01.2012;Südafrika;;;;;;18a;;;; Fr. 17'150.00 
11855;26.01.2012;Südafrika;;;;;;18a;;;; Fr. 3'200.00 
11856;26.01.2012;Slowakei, Slowakische Republik;;;;2B201b1;;;;;; Fr. 368'636.00 
11857;26.01.2012;Israel;;;;;3C001d;;;;; Fr. 1.00 
11858;26.01.2012;Russische Föderation;;;;;;;5.1;;; Fr. 16'215.00 
11859;26.01.2012;China;;;;2B201a;2B001b;;;;; Fr. 201'715.00 
11860;26.01.2012;Israel;;;;;3A001a10c;;;;; Fr. 6'997.00 
11861;26.01.2012;Israel;;;;;3A001a10c;;;;; Fr. 6'630.00 
11862;26.01.2012;Singapur;;;;1C231;;;;;; Fr. 2'850.00 
11863;26.01.2012;Brasilien;;;;;6A005a6b2;;;;; Fr. 169'371.00 
11819;27.01.2012;Kenia;;;;;5A001f;;;;; Fr. 170'120.00 
11864;27.01.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 122'070.00 
11865;27.01.2012;Russische Föderation;;;;2B201a;;;;;; Fr. 492'090.00 
11866;27.01.2012;Russische Föderation;;;;2B201a;;;;;; Fr. 183'219.00 
11867;27.01.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 291'619.00 
11868;27.01.2012;China;;;;2B201b1;;;;;; Fr. 1'780'000.00 
11868;27.01.2012;China;;;;2B201b1;;;;;; Fr. 1.00 
11869;27.01.2012;Chile;2B350g2;;;;;;;;; Fr. 4'246.00 
11869;27.01.2012;Chile;2B350g2;;;;;;;;; Fr. 1'934.00 
11871;27.01.2012;Hong Kong;;;;;5A002a1a;;;;; Fr. 6'980.00 
11872;27.01.2012;China;;;;;5D002c1;;;;; Fr. 117'036.00 
11873;27.01.2012;China;;;;;5D002c1;;;;; Fr. 53'780.00 
11874;27.01.2012;China;;;;;5D002c1;;;;; Fr. 51'014.00 
11875;30.01.2012;Deutschland;;;0B002g;;;;;;; Fr. 51'060.00 
11876;30.01.2012;Russische Föderation;;;;;6A005a6b2;;;;; Fr. 180'000.00 
11877;30.01.2012;Brasilien;;;;2B201a1;2B001b2;;;;; Fr. 217'978.00 
11878;30.01.2012;Brasilien;;;;2B201a1;;;;;; Fr. 163'440.00 
11879;30.01.2012;Brasilien;;;;2B201a1;;;;;; Fr. 170'248.00 
11880;30.01.2012;Russische Föderation;;;;;;1a;;;; Fr. 19'300.00 
11881;30.01.2012;Tunesien;;;;;;;;;2B4; Fr. 13'047.00 
11882;30.01.2012;Aserbaidschan;;;;;6A002c1;;;;; Fr. 16'480.00 
11883;30.01.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 687'652.00 
11884;30.01.2012;Russische Föderation;;7A103a;;;;;;;; Fr. 151'596.00 
11885;30.01.2012;Kuba;2B350d3;;;;;;;;; Fr. 12'615.00 
11886;31.01.2012;Großbritannien (Vereinigtes Königreich);;;;1C233;;;;;; Fr. 6'450.00 
11887;31.01.2012;Singapur;;;;;;;5.1;;; Fr. 1'068.00 
11888;31.01.2012;Brasilien;;;;;;11;;;; Fr. 27'380.00 
11888;31.01.2012;Brasilien;;;;;;11;;;; Fr. 48'370.00 
11889;01.02.2012;Russische Föderation;;;;2B201a;2B001b;;;;; Fr. 2'236'764.00 
11890;01.02.2012;Kolumbien;;;;;;;5.1;;; Fr. 2'535.00 
11890;01.02.2012;Kolumbien;;;;;;;5.1;;; Fr. 17'250.00 
11891;02.02.2012;Kenia;;;;;;4b;;;; Fr. 49'800.00 
11891;02.02.2012;Kenia;;;;;;4b;;;; Fr. 15'800.00 
11892;02.02.2012;Dänemark;;;;1C235;;;;;; Fr. 7'480.00 
11892;02.02.2012;Dänemark;;;;1B231.b2;;;;;; Fr. 500.00 
11893;02.02.2012;Südafrika;2B350g2;;;;;;;;; Fr. 14'022.00 
11894;02.02.2012;Chile;2B350g2;;;;;;;;; Fr. 32'912.00 
11895;02.02.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 1'278.00 
11896;02.02.2012;Schweden;;;;;;4c;;;; Fr. 6'283.00 
11897;03.02.2012;Vereinigte Staaten;;;;;;6a;;;; Fr. 89.00 
11897;03.02.2012;Vereinigte Staaten;;;;;;6a;;;; Fr. 2'889.00 
11898;03.02.2012;Malta;;;;;5A002a1a;;;;; Fr. 16'000.00 
11899;03.02.2012;Indien;2B352b;;;;;;;;; Fr. 1'140'000.00 
11900;03.02.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 64'735.00 
11901;03.02.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 202'214.00 
11903;06.02.2012;Indien;;;;;5A002a1a;;;;; Fr. 61'440.00 
11904;06.02.2012;Indien;;;;;5A002a1a;;;;; Fr. 122'880.00 
11905;06.02.2012;Indien;;;;;5A002a1a;;;;; Fr. 30'720.00 
11906;06.02.2012;Pakistan;;;;;3A002g2;;;;; Fr. 55'187.00 
11907;06.02.2012;Deutschland;;;;;;;5.1;;; Fr. 800.00 
11908;06.02.2012;Saudi-Arabien;;;;;6A002a3f;;;;; Fr. 8'000.00 
11909;07.02.2012;Deutschland;;;;;;;5.1;;; Fr. 3'248.00 
11910;07.02.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 370'688.00 
11911;07.02.2012;China;;;;2B201a1;;;;;; Fr. 217'089.00 
11912;07.02.2012;China;;;;2B201a1;;;;;; Fr. 247'227.00 
11913;07.02.2012;China;;;;2B201a1;;;;;; Fr. 161'681.00 
11914;08.02.2012;Südafrika;;;;;6A002c1;;;;; Fr. 23'200.00 
11917;08.02.2012;Oman;;;;;5D002c1;;;;; Fr. 16'811.00 
11915;09.02.2012;Deutschland;;;0B002g;;;;;;; Fr. 10'900.00 
11918;09.02.2012;Taiwan, Provinz von China;;;;2B201a1;;;;;; Fr. 204'694.00 
11919;09.02.2012;Elfenbeinküste;2B350g2;;;;;;;;; Fr. 2'725.00 
11920;09.02.2012;Russische Föderation;;;;;6A005a6b2;;;;; Fr. 587'520.00 
11923;09.02.2012;Vereinigte Arabische Emirate;;;;;5A001i;;;;; Fr. 3'500.00 
11916;10.02.2012;China;;;;2B201a1;2B001b2;;;;; Fr. 3'858'000.00 
11924;10.02.2012;Südafrika;2B350g2;;;;;;;;; Fr. 1'179.00 
11925;10.02.2012;Russische Föderation;2B350g2;;;;;;;;; Fr. 6'358.00 
11926;10.02.2012;Deutschland;;;;;;6;;;; Fr. 1'755.00 
11926;10.02.2012;Deutschland;;;;;;6;;;; Fr. 1'755.00 
11927;13.02.2012;Taiwan, Provinz von China;;;;;5A002a1a;;;;; Fr. 16'000.00 
11928;13.02.2012;Israel;;;;2B201b1;;;;;; Fr. 740'000.00 
11929;13.02.2012;Slowenien;;;;;6A002a3f;;;;; Fr. 7'244.00 
11930;13.02.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 36'500.00 
11931;13.02.2012;Indien;;;;2B001a;2B001a;;;;; Fr. 155'605.00 
11932;13.02.2012;Taiwan, Provinz von China;1C35009;;;;;;;;3B14; Fr. 5'256.00 
11933;13.02.2012;Oman;;;;;5A002a1a;;;;; Fr. 69'712.00 
11934;13.02.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 89'100.00 
11935;13.02.2012;Israel;;;;;2B001a;;;;; Fr. 148'750.00 
11936;13.02.2012;Israel;;;;;2B001a;;;;; Fr. 304'500.00 
11937;14.02.2012;Singapur;;;;1C231;;;;;; Fr. 4'000.00 
11939;15.02.2012;Deutschland;;;0B001b14;;;;;;; Fr. 10'000.00 
11940;15.02.2012;Serbien;;;;2B201a1;;;;;; Fr. 4'000.00 
11942;15.02.2012;Thailand;2B350g2;;;;;;;;; Fr. 38'819.00 
11943;15.02.2012;Aserbaidschan;;;;;5A002a1a;;;;; Fr. 27'305.00 
11922;16.02.2012;Kasachstan;;;;;;;5.1;;; Fr. 2'313.00 
11945;16.02.2012;Ägypten;2B350g2;;;;;;;;; Fr. 4'006.00 
11946;16.02.2012;Indien;;;;;;;5.1;;; Fr. 6'980.00 
11947;16.02.2012;Brasilien;;;;;;;5.1;;; Fr. 5'030.00 
11948;16.02.2012;Russische Föderation;;;;2B201a1;;;;;; Fr. 483'829.00 
11949;16.02.2012;China;;;;;2B001a;;;;; Fr. 2'682'018.00 
11951;17.02.2012;Frankreich;;;0B001b14;;;;;;; Fr. 27'000.00 
11952;17.02.2012;China;;;;2B001b3;;;;;; Fr. 940'000.00 
11954;20.02.2012;China;;;;2B201b1;;;;;; Fr. 332'800.00 
11955;20.02.2012;China;;;;;2B005d1;;;;; Fr. 2'174'500.00 
11956;20.02.2012;Frankreich;;;;;1A008c;;;;; Fr. 100'000.00 
11953;22.02.2012;China;;;;;6A002a1d;;;;; Fr. 465'000.00 
11957;22.02.2012;China;;;;2B201a1;;;;;; Fr. 210'240.00 
11958;22.02.2012;China;;;;2B201a1;;;;;; Fr. 447'994.00 
11959;22.02.2012;China;;;;2B201a1;;;;;; Fr. 1'856'270.00 
11960;22.02.2012;China;;;;2B201a1;;;;;; Fr. 219'957.00 
11961;22.02.2012;China;;;;2B201a1;;;;;; Fr. 216'696.00 
11962;22.02.2012;China;;;;2B201a1;;;;;; Fr. 223'017.00 
11963;22.02.2012;China;;;;2B201a1;;;;;; Fr. 439'914.00 
11964;22.02.2012;China;;;;2B201a1;;;;;; Fr. 221'190.00 
11965;22.02.2012;China;;;;3A228c;;;;;; Fr. 6'592.00 
11966;22.02.2012;Russische Föderation;;;;2B201a;2B001b2;;;;; Fr. 351'540.00 
11967;22.02.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 363'171.00 
11968;22.02.2012;China;;;;2B201a1;;;;;; Fr. 225'118.00 
11969;22.02.2012;China;;;;2B201a1;;;;;; Fr. 222'652.00 
11970;22.02.2012;China;;7A103a;;;;;;;; Fr. 151'596.00 
11971;22.02.2012;Ägypten;;;;;5A002a1a;;;;; Fr. 44'400.00 
11971;22.02.2012;Ägypten;;;;;5A002a1a;;;;; Fr. 122'800.00 
11972;22.02.2012;Brasilien;;;;;;;5.1;;; Fr. 3'337.00 
11973;22.02.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 109'619.00 
11974;22.02.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 109'619.00 
11975;22.02.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 109'618.00 
11976;22.02.2012;Thailand;;;;;;;5.1;;; Fr. 15'480.00 
11976;22.02.2012;Thailand;;;;;;;5.1;;; Fr. 2'508.00 
11977;22.02.2012;Russische Föderation;;;;2B201a1;2B001b2;;;;; Fr. 766'132.00 
11978;22.02.2012;China;;;;;6A005a6b2;;;;; Fr. 155'514.00 
11950;23.02.2012;Israel;;;;;;;5.1;;; Fr. 5.00 
11979;23.02.2012;Serbien;;;;;5A001f;;;;; Fr. 191'541.00 
11980;23.02.2012;China;;;;2B201b1;;;;;; Fr. 513'000.00 
11981;23.02.2012;China;;;;2B201b1;;;;;; Fr. 497'000.00 
11982;23.02.2012;China;;;;2B201b1;;;;;; Fr. 486'000.00 
11983;23.02.2012;China;;;;2B201a1;;;;;; Fr. 885'765.00 
11984;23.02.2012;China;;;;2B201a1;;;;;; Fr. 176'533.00 
11985;23.02.2012;Taiwan, Provinz von China;;;;2B201b1;;;;;; Fr. 260'000.00 
11986;23.02.2012;Slowenien;;;;;2B001a;;;;; Fr. 168'310.00 
11987;23.02.2012;Russische Föderation;;;;2B201a;;;;;; Fr. 274'540.00 
11988;23.02.2012;China;;;;3A228c;;;;;; Fr. 5'890.00 
11989;23.02.2012;China;;;;;3A001g2;;;;; Fr. 98'371.00 
11990;23.02.2012;Zypern;;;;;7B003;;;;; Fr. 25'000.00 
11991;23.02.2012;China;;;;;3A001a2c;;;;; Fr. 658'100.00 
11992;23.02.2012;Russische Föderation;;2B120;;;7B003a;;;;; Fr. 1'958'500.00 
11993;24.02.2012;Thailand;;;;2B201a;2B001b1;;;;; Fr. 160'000.00 
11994;24.02.2012;Schweden;;;;;;4c;;;; Fr. 7'926.00 
11995;24.02.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 28'300.00 
11996;24.02.2012;China;;;;2B201a1;;;;;; Fr. 210'270.00 
11997;27.02.2012;China;;;;2B201a;2B001b2;;;;; Fr. 323'823.00 
11998;27.02.2012;Südafrika;;7A103a;;;;;;;; Fr. 151'596.00 
11999;27.02.2012;Russische Föderation;;;;2B201b1;;;;;; Fr. 1'419'157.00 
12002;27.02.2012;Brasilien;;;;;6A005a6b2;;;;; Fr. 169'371.00 
12003;27.02.2012;Malaysia;;;;;3A002g2;;;;; Fr. 40'551.00 
12004;27.02.2012;Israel;;;;;7B003a;;;;; Fr. 7'800.00 
12004;27.02.2012;Israel;;;;;7B003a;;;;; Fr. 53'800.00 
12005;27.02.2012;China;;;;;3A001a2c;;;;; Fr. 131'800.00 
12006;27.02.2012;Russische Föderation;;;;;6A002c1;;;;; Fr. 11'566.00 
12007;27.02.2012;Schweiz;1C351d11;;;;;;;;; Fr. 44.00 
12008;27.02.2012;Vereinigte Staaten;1C351d11;;;;;;;;; Fr. 222.00 
12009;27.02.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 585.00 
12010;27.02.2012;Belarus;;;;;5A001f;;;;; Fr. 500.00 
12011;27.02.2012;Algerien;;;;;5A002a1a;;;;; Fr. 770'740.00 
12012;28.02.2012;Taiwan, Provinz von China;;;;;2B001a;;;;; Fr. 575'000.00 
12013;28.02.2012;Jordanien;;;;;6A002c1;;;;; Fr. 8'722.00 
12013;28.02.2012;Jordanien;;;;;6A002a3f;;;;; Fr. 8'461.00 
12014;28.02.2012;Chile;;;;;;15d;;;; Fr. 100'000.00 
12014;28.02.2012;Chile;;;;;;5b;;;; Fr. 30'000.00 
12014;28.02.2012;Chile;;;;;;13c;;;; Fr. 25.00 
12014;28.02.2012;Chile;;;;;6A002c1;;;;; Fr. 53'200.00 
12015;28.02.2012;Chile;;;;;6A002a3f;;;;; Fr. 12'200.00 
12016;28.02.2012;Russische Föderation;;;;2B201a;2B001a;;;;; Fr. 740'000.00 
12017;28.02.2012;Indien;;;;;4A003a;;;;; Fr. 25'000.00 
12018;28.02.2012;Russische Föderation;;;;2B001a;2B001a;;;;; Fr. 138'052.00 
12021;28.02.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 82'219.00 
12022;28.02.2012;Iran, Islamische Republik (SG);;;;;;;;;; Fr. 585.00 
12020;29.02.2012;Indien;;;;;;;5.1;;; Fr. 450.00 
12023;29.02.2012;Mongolei;;;;;5A001f;;;;; Fr. 4'000.00 
12024;29.02.2012;Israel;;;;;7A002a+b;;;;; Fr. 428'951.00 
12025;01.03.2012;Serbien;;;;2B001a;2B001a;;;;; Fr. 15'000.00 
12026;01.03.2012;Singapur;;;;2B201b1;;;;;; Fr. 297'100.00 
12027;01.03.2012;China;;;;2B201a1;;;;;; Fr. 133'640.00 
12028;01.03.2012;China;;;;;5D002c1;;;;; Fr. 54'243.00 
12029;02.03.2012;Hong Kong;;;;;3A001a2c;;;;; Fr. 103'500.00 
12030;02.03.2012;Singapur;;;;1C231;;;;;; Fr. 4'000.00 
12032;02.03.2012;Mexiko;;;;;5A001f;;;;; Fr. 4'000.00 
12033;02.03.2012;Russische Föderation;;;;;;;5.1;;; Fr. 120.00 
11941;05.03.2012;Taiwan, Provinz von China;2B352d2;;;;;;;;; Fr. 25'000.00 
12034;05.03.2012;Hong Kong;;;;;3A001a5a1;;;;; Fr. 164'700.00 
12035;05.03.2012;Russische Föderation;;;;2B201a1;;;;;; Fr. 37'975.00 
12036;05.03.2012;Israel;;;;;2B001a;;;;; Fr. 143'000.00 
12037;06.03.2012;Katar;2B350e5;;;;;;;;; Fr. 236'316.00 
12038;06.03.2012;China;;;;2B201b1;2B001c1;;;;; Fr. 680'000.00 
12039;06.03.2012;China;;;;2B201a1;;;;;; Fr. 264'782.00 
12040;06.03.2012;China;;;;2B201a1;;;;;; Fr. 143'921.00 
12042;06.03.2012;China;;;;2B201a1;;;;;; Fr. 617'093.00 
12043;06.03.2012;Taiwan, Provinz von China;1C350.9;;;;;;;;3B14; Fr. 2'890.00 
12044;06.03.2012;Bangladesch;;;;;6A002c1;;;;; Fr. 6'740.00 
12045;06.03.2012;Thailand;;;;;5A001f;;;;; Fr. 5'500.00 
12046;06.03.2012;Pakistan;;;;;5A001f;;;;; Fr. 5'500.00 
12047;06.03.2012;Vereinigte Arabische Emirate;;;;;6A002c1;;;;; Fr. 7'611.00 
12047;06.03.2012;Vereinigte Arabische Emirate;;;;;6A002c1;;;;; Fr. 11'167.00 
12047;06.03.2012;Vereinigte Arabische Emirate;;;;;6A002a3f;;;;; Fr. 7'300.00 
12048;06.03.2012;Südafrika;;;;;;;5.1;;; Fr. 310.00 
12049;06.03.2012;Thailand;2B350g2;;;;;;;;; Fr. 4'383.00 
12050;06.03.2012;China;2B350g2;;;;;;;;; Fr. 9'784.00 
