Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2008);;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2008);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;KM 9  / KM 11-15 /
Continent;Pays;;;;;;;;;;;;;KM 17 - 22
;;;;;;;;;;;;;;
Total;;;721'968'433;21'289'080;142'610'247;143'057'138;13'622'691;81'246'428;234'735'333;91'800;31'073'431;53'730'636;511'649;0
;;;;;;;;;;;;;;
Europa;Andorra;Andorre;1'600;1'600;;;;;;;;;;
Europe;Belgien;Belgique;79'363'228;647'477;2'442;1'863'959;204'501;;76'252'811;;340'251;51'787;;
;Bosnien und Herzeg.;Bosnie et Herzég.;244'007;224'127;19'880;;;;;;;;;
;Bulgarien;Bulgarie;356'250;169'040;;35'702;;;;;151'508;;;
;Dänemark;Danemark;83'688'920;68'874;9'444'242;9'276'014;1'082'920;;62'544'800;;1'272'070;;;
;Deutschland;Allemagne;80'907'794;6'441'579;15'289'934;21'884'756;244'330;215'589;31'805'319;19'293;4'355'266;284'480;367'248;
;Estland;Estonie;2'571'242;2'510'683;;60'559;;;;;;;;
;Finnland;Finlande;30'560'764;114'105;73'775;6'964'233;;;744'971;;105'306;22'558'374;;
;Frankreich;France;17'231'818;1'783'424;4'104'193;6'553'253;255'917;598'526;650'000;;;3'286'505;;
;Griechenland;Grèce;4'058'098;41'070;943'696;;;2'909'665;161'096;;;;2'571;
;Grossbritannien;Grande-Bretagne;47'408'735;795'853;519'484;25'380'807;;111'364;1'733'145;;16'172'696;2'695'386;;
;Irland;Irlande;5'855'395;68'315;;;1'953'258;;3'833'822;;;;;
;Island;Islande;3'650;3'650;;;;;;;;;;
;Italien;Italie;7'968'692;875'451;223'340;23'930;;4'497'974;1'890'054;;30'317;372'723;54'903;
;Kasachstan;Kazakhstan;10'000;10'000;;;;;;;;;;
;Kroatien;Croatie;22'915;22'915;;;;;;;;;;
;Lettland;Lettonie;55'810;2'075;;;;;;53'735;;;;
;Litauen;Lituanie;36'966;14'550;;22'416;;;;;;;;
;Luxemburg;Luxembourg;732'039;157'071;;574'968;;;;;;;;
;Malta;Malte;62'433;36'359;;26'074;;;;;;;;
;Niederlande;Pays-Bas;39'583'423;272'065;5'722'501;24'949'184;1'839'778;;6'648'128;;28'440;123'327;;
;Norwegen;Norvège;7'202'864;37'506;1'829'960;3'959'981;;;85'165;;1'283'842;;6'410;
;Österreich;Autriche;4'381'702;606'678;65'499;3'428'410;;103'164;60'211;;117'740;;;
;Polen;Pologne;4'678'488;457'275;;4'221'213;;;;;;;;
;Portugal;Portugal;13'835;13'835;;;;;;;;;;
;Rumänien;Roumanie;38'769'558;315'949;382'032;194'688;;18'000;37'652'489;;;206'400;;
;Russland;Russie;50'406;50'406;;;;;;;;;;
;San Marino;Saint-Marin;7'832;7'832;;;;;;;;;;
;Schweden;Suède;14'751'775;219'051;508'920;6'535'831;35'900;3'165'230;1'473'483;;613'690;2'199'670;;
;Serbien;Serbie;240;240;;;;;;;;;;
;Slowakei;Slovaquie;19'915;19'915;;;;;;;;;;
