Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2007);;;;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2007);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;;KM 9 / KM 11 - 15 /;
Continent;Pays;;;;;;;;;;;;;;KM 17 - 22;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Total;;;464'482'098;20'725'871;83'862'712;121'917'377;338'542;47'926'002;125'023'732;44'077;19'382'582;44'497'260;763'943;;;
;Macao;Macao;273'591;82'250;;191'341;;;;;;;;;;
;Malaysia;Malaisie;7'734'500;137'673;6'973;3'630'956;;3'114'506;;;844'392;;;;;
;Oman;Oman;556'819;;28'650;471'399;;56'770;;;;;;;;
;Pakistan;Pakistan;37'532'077;1'215;30'653'160;;;6'877'702;;;;;;;;
;Saudi-Arabien;Arabie Saoudite;485'294;131'500;10'630;;;343'164;;;;;;;;
;Singapur;Singapour;1'379'488;9'418;90'231;800'004;;246'561;;;227'400;;5'874;;;
;Thailand;Thaïlande;56'040;8'600;;;;47'440;;;;;;;;
;;;58'525'006;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Australien ;Australien;Australie;2'147'585;43'199;;2'094'886;;;9'500;;;;;;;
Australie;Neuseeland;Nouvelle-Zélande;42'773;42'773;;;;;;;;;;;;
;;;2'190'358;;;;;;;;;;;;;
