Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2009);;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2009);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;KM 9  / KM 11-15 /
Continent;Pays;;;;;;;;;;;;;KM 17 - 22
;;;;;;;;;;;;;;
Total;;;727'722'790;22'421'458;97'090'517;174'589'294;16'264'966;116'609'061;239'679'115;67'076;21'471'916;38'782'385;747'002;0
;Katar;Qatar;2'561'602;715'155;;1'846'447;;;;;;;;
;Korea (Süd);Corée (Sud);2'154'975;15'276;436'706;;1'702'993;;;;;;;
;Kuwait;Koweït;353'055;347'615;;5'440;;;;;;;;
;Macao;Macao;221'874;218'887;;2'987;;;;;;;;
;Malaysia;Malaisie;14'593'724;161'504;622'922;866'134;4'986'288;7'956'876;;;;;;
;Oman;Oman;541'398;;25'573;450'841;;64'984;;;;;;
;Pakistan;Pakistan;1'499'735;2'060;631'286;;;866'389;;;;;;
;Saudi-Arabien;Arabie Saoudite;131'594'271;221'748;64'967'150;3'445'000;;62'675'385;284'988;;;;;
;Singapur;Singapour;8'564'822;131'792;1'288'343;2'643'437;;295'650;;60'820;;4'144'780;;
;Surinam;Surinam;2'175;2'175;;;;;;;;;;
;Thailand;Thaïlande;149'146;18'600;;;;130'546;;;;;;
;Turkmenistan;Turkmenistan;10'000;10'000;;;;;;;;;;
;;;183'781'943;;;;;;;;;;;
;;;;;;;;;;;;;;
Australien ;Australien;Australie;1'806'279;28'182;1'778'097;;;;;;;;;
Australie;Neuseeland;Nouvelle-Zélande;128'440;128'440;;;;;;;;;;
;;;1'934'719;;;;;;;;;;;
