Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2011);;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2011);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;KM 9  / KM 11-15 /
Continent;Pays;;;;;;;;;;;;;KM 17 - 22
;;;;;;;;;;;;;;
Total;;;872'684'995;21'476'511;78'108'832;162'254'455;3'766'160;107'364'857;186'827'846;41'290;23'349'134;288'564'129;931'781;0
;;;;;;;;;;;;;;
Europa;Belgien;Belgique;32'527'662;394'055;;1'701'931;;;29'314'454;;1'117'222;;;
Europe;Bosnien und Herzeg.;Bosnie et Herzég.;22'561;21'286;1'275;;;;;;;;;
;Bulgarien;Bulgarie;920'957;33'853;3'746;69'266;;;;;814'092;;;
;Dänemark;Danemark;17'842'623;14'672;3'241'345;13'094'805;;90'600;642'773;;758'428;;;
;Deutschland;Allemagne;239'592'986;2'790'997;31'880'212;46'145'102;209'701;47'593'337;106'206'511;13'146;4'647'224;50'550;56'206;
;Estland;Estonie;133'571;24'791;;108'780;;;;;;;;
;Finnland;Finlande;3'145'814;97'732;693'140;47'410;;3'152;315'088;;620'960;1'368'332;;
;Frankreich;France;17'122'147;1'215'049;3'138'518;9'006'705;42'806;233'625;1'979;;1'347'587;2'006'552;129'326;
;Griechenland;Grèce;6'846'930;11'194;4'039'072;;;2'796'664;;;;;;
;Grossbritannien;Grande-Bretagne;23'154'152;722'665;786'397;10'460'861;2'585'406;521'923;450'520;;7'401'728;224'652;;
;Irland;Irlande;34'681;;;;;;34'681;;;;;
;Italien;Italie;57'174'642;1'279'097;14'933'221;26'826'116;;12'239'748;1'167'250;;624'756;24'072;80'382;
;Kroatien;Croatie;15'977;14'402;1'575;;;;;;;;;
;Lettland;Lettonie;3'745;3'745;;;;;;;;;;
;Litauen;Lituanie;5'067;5'067;;;;;;;;;;
;Luxemburg;Luxembourg;145'805;57'131;;88'674;;;;;;;;
;Malta;Malte;47'824;47'824;;;;;;;;;;
;Niederlande;Pays-Bas;22'363'459;1'497'351;1'841'467;15'026'061;;10'353;3'966'195;;13'810;2'001;6'221;
;Norwegen;Norvège;24'110'511;86'410;5'033'112;10'553'044;169'406;;7'313'768;;601'180;;353'591;
;Österreich;Autriche;4'219'951;268'829;;3'816'710;;;120'194;;14'218;;;
;Polen;Pologne;338'934;310'407;;28'480;;;;;47;;;
;Portugal;Portugal;9'624;9'624;;;;;;;;;;
;Rumänien;Roumanie;972'909;183'787;;368'912;;;419'906;;304;;;
;Russland;Russie;247'304;199'061;;48'243;;;;;;;;
;Schweden;Suède;8'956'540;390'725;193'189;4'141'000;937;2'538'100;176'101;;1'350'911;28'460;137'117;
;Slowakei;Slovaquie;93'340;1'408;;91'932;;;;;;;;
;Slowenien;Slovénie;40'361;24'628;;15'733;;;;;;;;
;Spanien;Espagne;32'469'412;46'871;5'729'025;4'666'542;;3'833'331;18'087'506;;;106'137;;
;Tschechische Rep.;Tchèque, Rép.;116'205;112'799;;3'406;;;;;;;;
;Türkei;Turquie;229'531;21'948;165'583;;;42'000;;;;;;
