Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2012);;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2012);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;KM 9  / KM 11-15 /
Continent;Pays;;;;;;;;;;;;;KM 17 - 22
;;;;;;;;;;;;;;
Total;;;700'420'664;19'571'867;86'007'848;156'560'116;9'232'394;101'996'682;140'991'089;203'009;21'014'278;163'834'765;1'008'616;0
;;;;;;;;;;;;;;
Europa;Belgien;Belgique;6'383'235;463'695;;1'667'612;;;3'564'275;;687'653;;;
Europe;Bosnien und Herzeg.;Bosnie et Herzég.;79'994;56'171;;23'823;;;;;;;;
;Bulgarien;Bulgarie;186'721;43'182;;;;;;;143'539;;;
;Dänemark;Danemark;4'004'938;7'653;1'310'632;1'225'726;;20'334;358'040;;1'082'553;;;
;Deutschland;Allemagne;245'380'803;3'762'622;38'652'434;71'032'237;87'700;24'437'078;98'171'638;1'513;8'885'679;280'570;69'332;
;Estland;Estonie;54'931;51'831;;100;;;3'000;;;;;
;Finnland;Finlande;2'915'554;56'686;1'144'846;9'884;;174'688;;;144;1'529'306;;
;Frankreich;France;15'640'510;1'460'795;1'865'846;4'539'295;324'729;1'024'854;9'431;;907'374;5'458'046;50'140;
;Griechenland;Grèce;3'507'597;2'495;2'575'356;;;929'746;;;;;;
;Grossbritannien;Grande-Bretagne;20'305'407;813'086;2'618'458;6'340'865;3'747'403;;651;;5'778'135;1'006'809;;
;Irland;Irlande;1'801'857;4'144;;1'719'321;;;78'392;;;;;
;Italien;Italie;61'125'144;1'304'766;25'242'402;11'406'622;;22'569'257;;;534'087;;68'010;
;Kosovo;Kosovo;11'936;;;11'936;;;;;;;;
;Lettland;Lettonie;5'902;;;5'902;;;;;;;;
;Litauen;Lituanie;32'842;120;;32'722;;;;;;;;
;Luxemburg;Luxembourg;70'058;45'198;;24'860;;;;;;;;
;Malta;Malte;10'353;;;10'353;;;;;;;;
;Mazedonien;Macédoine;2'748;2'748;;;;;;;;;;
;Niederlande;Pays-Bas;4'760'293;512'719;993'233;2'146'651;;;1'030'374;;39'600;37'716;;
;Norwegen;Norvège;13'145'831;48'705;3'000'563;6'413'713;163'943;;2'384'007;2'440;813'475;;318'985;
;Österreich;Autriche;6'087'780;138'484;67'143;5'865'955;;15'016;;;1'182;;;
;Polen;Pologne;49'760;42'361;;6'878;;;;;521;;;
;Portugal;Portugal;1'500'936;240;;1'500'696;;;;;;;;
;Rumänien;Roumanie;11'174'609;13'106;;85'595;;;11'075'762;;146;;;
;Russland;Russie;1'109'355;942'704;;166'606;;;;;45;;;
;Schweden;Suède;11'253'782;49'615;199'891;4'493'672;2'841;4'020'528;684'933;;1'361'885;440'417;;
;Slowakei;Slovaquie;188'635;51'607;;137'028;;;;;;;;
;Slowenien;Slovénie;46'060;30'942;;15'118;;;;;;;;
;Spanien;Espagne;18'586'846;88'588;1'714'931;382'503;;4'374'738;11'971'132;;;54'954;;
;Tschechische Rep.;Tchèque, Rép.;183'430;168'941;;13'454;;;;;1'035;;;
