Ausfuhren von Kriegsmaterial nach Kategorie pro Endempfängerstaat (01.01. - 31.12.2014);;;;;;;;;;;;;;
Exportations de matériel de guerre par catégorie et pays de destination (01.01. - 31.12.2014);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Kontinent;Land;;Total;KM 1;KM 2;KM 3;KM 4;KM 5;KM 6;KM 7;KM 8;KM 10;KM 16;KM 9  / KM 11-15 /
Continent;Pays;;;;;;;;;;;;;KM 17 - 22
;;;;;;;;;;;;;;
Total;;;563'500'800;24'711'076;137'692'035;109'199'705;1'720'070;110'452'342;119'220'443;174'335;21'754'670;37'998'438;577'686;0
;;;;;;;;;;;;;;
Europa;Belgien;Belgique;5'679'820;579'313;;3'245'409;;;121'898;;814'633;918'567;;
Europe;Bosnien und Herzeg.;Bosnie et Herzég.;118'831;19'962;5'403;;;;;;93'466;;;
;Bulgarien;Bulgarie;3'156'502;17'274;;6'051;;;;;3'133'177;;;
;Dänemark;Danemark;7'053'691;15'564;3'126'522;3'356'823;;246;354'644;;199'892;;;
;Deutschland;Allemagne;186'998'667;5'499'866;18'746'285;45'478'378;102'168;11'427'283;100'805'321;14'453;3'777'071;1'084'310;63'532;
;Estland;Estonie;194'532;185'106;;9'426;;;;;;;;
;Finnland;Finlande;2'017'172;86'650;866'081;36'104;;;310'478;;;717'859;;
;Frankreich;France;20'711'621;1'625'956;2'196'351;4'614'625;255'622;211'870;;;1'083'555;10'560'066;163'576;
;Georgien;Géorgie;4'185;4'185;;;;;;;;;;
;Griechenland;Grèce;2'056'686;32'562;180'232;;;1'840'354;3'538;;;;;
;Grossbritannien;Grande-Bretagne;20'862'040;322'563;14'737'382;220'616;;1'483'809;6'651;10'937;3'195'985;884'097;;
;Irland;Irlande;100'711;4'920;;;;;95'791;;;;;
;Island;Islande;5'471;2'730;2'741;;;;;;;;;
;Italien;Italie;49'369'822;1'496'858;19'613'574;5'859'141;;21'993'921;;;391'390;5'398;9'540;
;Kosovo;Kosovo;33'500;;;33'500;;;;;;;;
;Kroatien;Croatie;72'424;;;72'424;;;;;;;;
;Lettland;Lettonie;4'532;;;4'532;;;;;;;;
;Litauen;Lituanie;64'740;64'740;;;;;;;;;;
;Luxemburg;Luxembourg;213'373;56'451;594;108'958;;;47'370;;;;;
;Malta;Malte;161'863;87'440;;74'423;;;;;;;;
;Niederlande;Pays-Bas;4'472'478;175'066;613'076;178'920;;249'000;3'144'688;;111'728;;;
;Norwegen;Norvège;5'550'055;63'550;38'000;720'106;132'119;;4'193'566;;402'714;;;
;Österreich;Autriche;5'307'147;220'943;11'177;4'527'159;;456'974;2'550;;88'344;;;
;Polen;Pologne;1'111'812;684'287;;329'829;;;19'000;;78'696;;;
;Portugal;Portugal;6'408;;;6'408;;;;;;;;
;Rumänien;Roumanie;34'284;34'284;;;;;;;;;;
;Russland;Russie;536'172;536'172;;;;;;;;;;
;Schweden;Suède;12'468'364;166'917;363'520;7'589'537;109'031;1'762'319;516'310;;1'692'092;268'638;;
;Slowakei;Slovaquie;9'017;9'017;;;;;;;;;;
;Slowenien;Slovénie;185;;;185;;;;;;;;
;Spanien;Espagne;7'734'502;50'819;4'973'155;960'679;;1'107'527;;;223'989;418'333;;
